id,date,bank_code,bank_name,amount,memo,recipient,category,confidence,reference,is_sample
10087,2026-09-04,SCB,SCB (ไทยพาณิชย์),90.00,ก๋วยเตี๋ยว,ตลาดสด,ค่าอาหาร,0.97,DEMO-SCB-260904-087,True
10086,2026-09-03,BBL,BBL (ธนาคารกรุงเทพ),685.00,ค่ารถโดยสาร,ทางด่วน,ค่าเดินทาง,0.88,DEMO-BBL-260903-086,True
10085,2026-09-02,BAY,BAY (กรุงศรีอยุธยา),3930.00,คืนเงินเพื่อน,ผู้รับตัวอย่าง A,โอนเงิน,0.96,DEMO-BAY-260902-085,True
10084,2026-09-01,KBank,KBank (กสิกรไทย),1130.00,เสื้อผ้า,ร้านเสื้อผ้า,ค่าของใช้,0.85,DEMO-KBank-260901-084,True
10083,2026-08-31,KTB,KTB (กรุงไทย),1795.00,ซื้อยา,ร้านยาตัวอย่าง,สุขภาพ/ความงาม,0.92,DEMO-KTB-260831-083,True
10082,2026-08-30,SCB,SCB (ไทยพาณิชย์),485.00,ค่าแชร์,ผู้รับตัวอย่าง B,โอนเงิน,0.85,DEMO-SCB-260830-082,True
10081,2026-08-29,KBank,KBank (กสิกรไทย),270.00,กาแฟและขนม,Cafe Corner,ค่าอาหาร,0.91,DEMO-KBank-260829-081,True
10080,2026-08-28,KTB,KTB (กรุงไทย),610.00,มื้อเย็น,ร้านอิ่มอร่อย,ค่าอาหาร,0.91,DEMO-KTB-260828-080,True
10079,2026-08-27,BAY,BAY (กรุงศรีอยุธยา),865.00,ค่าไฟ,ผู้ให้บริการไฟฟ้า,ค่าสาธารณูปโภค,0.84,DEMO-BAY-260827-079,True
10078,2026-08-26,KTB,KTB (กรุงไทย),995.00,คอนเสิร์ต,Event Ticket,ความบันเทิง,0.98,DEMO-KTB-260826-078,True
10077,2026-08-25,SCB,SCB (ไทยพาณิชย์),220.00,มื้อเย็น,ร้านอิ่มอร่อย,ค่าอาหาร,0.94,DEMO-SCB-260825-077,True
10076,2026-08-24,BBL,BBL (ธนาคารกรุงเทพ),215.00,ของว่าง,ร้านเส้นดี,ค่าอาหาร,0.98,DEMO-BBL-260824-076,True
10075,2026-08-23,KBank,KBank (กสิกรไทย),285.00,ค่าน้ำ,ผู้ให้บริการประปา,ค่าสาธารณูปโภค,0.88,DEMO-KBank-260823-075,True
10074,2026-08-22,BBL,BBL (ธนาคารกรุงเทพ),1060.00,ของใช้ประจำวัน,Daily Mart,ค่าของใช้,0.88,DEMO-BBL-260822-074,True
10073,2026-08-21,BBL,BBL (ธนาคารกรุงเทพ),225.00,ค่ารถโดยสาร,ทางด่วน,ค่าเดินทาง,0.9,DEMO-BBL-260821-073,True
10072,2026-08-20,BBL,BBL (ธนาคารกรุงเทพ),600.00,มื้อเย็น,ร้านอิ่มอร่อย,ค่าอาหาร,0.98,DEMO-BBL-260820-072,True
10071,2026-08-19,KBank,KBank (กสิกรไทย),305.00,อาหารกลางวัน,ครัวบ้านสวน,ค่าอาหาร,0.98,DEMO-KBank-260819-071,True
10070,2026-08-18,BBL,BBL (ธนาคารกรุงเทพ),610.00,ก๋วยเตี๋ยว,ตลาดสด,ค่าอาหาร,0.92,DEMO-BBL-260818-070,True
10069,2026-08-17,BBL,BBL (ธนาคารกรุงเทพ),350.00,ค่าทางด่วน,Ride Service,ค่าเดินทาง,0.99,DEMO-BBL-260817-069,True
10068,2026-08-16,KTB,KTB (กรุงไทย),470.00,อาหารกลางวัน,ครัวบ้านสวน,ค่าอาหาร,0.89,DEMO-KTB-260816-068,True
10067,2026-08-15,BBL,BBL (ธนาคารกรุงเทพ),1400.00,คอนเสิร์ต,Event Ticket,ความบันเทิง,0.95,DEMO-BBL-260815-067,True
10066,2026-08-14,SCB,SCB (ไทยพาณิชย์),1115.00,ของใช้ประจำวัน,Daily Mart,ค่าของใช้,0.94,DEMO-SCB-260814-066,True
10065,2026-08-13,KTB,KTB (กรุงไทย),975.00,ซื้อยา,ร้านยาตัวอย่าง,สุขภาพ/ความงาม,0.83,DEMO-KTB-260813-065,True
10064,2026-08-12,KTB,KTB (กรุงไทย),1625.00,ค่าน้ำ,ผู้ให้บริการประปา,ค่าสาธารณูปโภค,0.94,DEMO-KTB-260812-064,True
10063,2026-08-11,SCB,SCB (ไทยพาณิชย์),580.00,ก๋วยเตี๋ยว,ตลาดสด,ค่าอาหาร,0.92,DEMO-SCB-260811-063,True
10062,2026-08-10,SCB,SCB (ไทยพาณิชย์),1210.00,ค่าไฟ,ผู้ให้บริการไฟฟ้า,ค่าสาธารณูปโภค,0.87,DEMO-SCB-260810-062,True
10061,2026-08-09,KTB,KTB (กรุงไทย),1390.00,โอนให้ครอบครัว,สมาชิกครอบครัว,โอนเงิน,0.9,DEMO-KTB-260809-061,True
10060,2026-08-08,KBank,KBank (กสิกรไทย),4600.00,โอนให้ครอบครัว,สมาชิกครอบครัว,โอนเงิน,0.85,DEMO-KBank-260808-060,True
10059,2026-08-07,BAY,BAY (กรุงศรีอยุธยา),1030.00,กองทุนสาธารณะ,โครงการแบ่งปัน,ทำบุญ/บริจาค,0.94,DEMO-BAY-260807-059,True
10058,2026-08-06,BBL,BBL (ธนาคารกรุงเทพ),185.00,ก๋วยเตี๋ยว,ตลาดสด,ค่าอาหาร,0.95,DEMO-BBL-260806-058,True
10057,2026-08-05,BBL,BBL (ธนาคารกรุงเทพ),1375.00,ทำฟัน,คลินิกทันตกรรม,สุขภาพ/ความงาม,0.98,DEMO-BBL-260805-057,True
10056,2026-08-04,KBank,KBank (กสิกรไทย),1015.00,บริจาค,วัดตัวอย่าง,ทำบุญ/บริจาค,0.84,DEMO-KBank-260804-056,True
10055,2026-08-03,SCB,SCB (ไทยพาณิชย์),1250.00,ผลิตภัณฑ์ดูแลตัวเอง,Care Shop,สุขภาพ/ความงาม,0.98,DEMO-SCB-260803-055,True
10054,2026-08-02,BAY,BAY (กรุงศรีอยุธยา),2200.00,ค่าไฟ,ผู้ให้บริการไฟฟ้า,ค่าสาธารณูปโภค,0.93,DEMO-BAY-260802-054,True
10053,2026-08-01,KBank,KBank (กสิกรไทย),600.00,มื้อเย็น,ร้านอิ่มอร่อย,ค่าอาหาร,0.94,DEMO-KBank-260801-053,True
10052,2026-07-31,BAY,BAY (กรุงศรีอยุธยา),410.00,ก๋วยเตี๋ยว,ตลาดสด,ค่าอาหาร,0.92,DEMO-BAY-260731-052,True
10051,2026-07-30,BAY,BAY (กรุงศรีอยุธยา),630.00,ค่าน้ำ,ผู้ให้บริการประปา,ค่าสาธารณูปโภค,0.95,DEMO-BAY-260730-051,True
10050,2026-07-29,BAY,BAY (กรุงศรีอยุธยา),135.00,อาหารกลางวัน,ครัวบ้านสวน,ค่าอาหาร,0.84,DEMO-BAY-260729-050,True
10049,2026-07-28,BAY,BAY (กรุงศรีอยุธยา),2330.00,ค่าโทรศัพท์,Mobile Provider,ค่าสาธารณูปโภค,0.97,DEMO-BAY-260728-049,True
10048,2026-07-27,BBL,BBL (ธนาคารกรุงเทพ),1130.00,เกม,Game Store,ความบันเทิง,0.98,DEMO-BBL-260727-048,True
10047,2026-07-26,KBank,KBank (กสิกรไทย),1965.00,ของใช้ในบ้าน,Home Store,ค่าของใช้,0.86,DEMO-KBank-260726-047,True
10046,2026-07-25,BAY,BAY (กรุงศรีอยุธยา),4325.00,ค่าแชร์,ผู้รับตัวอย่าง B,โอนเงิน,0.82,DEMO-BAY-260725-046,True
10045,2026-07-24,KTB,KTB (กรุงไทย),585.00,ผลิตภัณฑ์ดูแลตัวเอง,Care Shop,สุขภาพ/ความงาม,0.92,DEMO-KTB-260724-045,True
10044,2026-07-23,BBL,BBL (ธนาคารกรุงเทพ),560.00,มื้อเย็น,ร้านอิ่มอร่อย,ค่าอาหาร,0.97,DEMO-BBL-260723-044,True
10043,2026-07-22,BAY,BAY (กรุงศรีอยุธยา),330.00,สมทบทุน,กองทุนชุมชน,ทำบุญ/บริจาค,0.96,DEMO-BAY-260722-043,True
10042,2026-07-21,SCB,SCB (ไทยพาณิชย์),3060.00,คืนเงินเพื่อน,ผู้รับตัวอย่าง A,โอนเงิน,0.94,DEMO-SCB-260721-042,True
10041,2026-07-20,SCB,SCB (ไทยพาณิชย์),1050.00,ค่าเดินทาง,สถานีบริการน้ำมัน,ค่าเดินทาง,0.86,DEMO-SCB-260720-041,True
10040,2026-07-19,BAY,BAY (กรุงศรีอยุธยา),2670.00,ฝากซื้อของ,เพื่อนตัวอย่าง,โอนเงิน,0.82,DEMO-BAY-260719-040,True
10039,2026-07-18,BBL,BBL (ธนาคารกรุงเทพ),750.00,ทำฟัน,คลินิกทันตกรรม,สุขภาพ/ความงาม,0.83,DEMO-BBL-260718-039,True
10038,2026-07-17,SCB,SCB (ไทยพาณิชย์),360.00,ก๋วยเตี๋ยว,ตลาดสด,ค่าอาหาร,0.9,DEMO-SCB-260717-038,True
10037,2026-07-16,BBL,BBL (ธนาคารกรุงเทพ),940.00,เกม,Game Store,ความบันเทิง,0.87,DEMO-BBL-260716-037,True
10036,2026-07-15,KTB,KTB (กรุงไทย),1385.00,ช่วยเหลือชุมชน,องค์กรสาธารณะ,ทำบุญ/บริจาค,0.88,DEMO-KTB-260715-036,True
10035,2026-07-14,KTB,KTB (กรุงไทย),3065.00,ชำระเงินยืม,ผู้รับตัวอย่าง C,โอนเงิน,0.96,DEMO-KTB-260714-035,True
10034,2026-07-13,KTB,KTB (กรุงไทย),4370.00,ฝากซื้อของ,เพื่อนตัวอย่าง,โอนเงิน,0.85,DEMO-KTB-260713-034,True
10033,2026-07-12,SCB,SCB (ไทยพาณิชย์),595.00,เรียกรถ,วินชุมชน,ค่าเดินทาง,0.88,DEMO-SCB-260712-033,True
10032,2026-07-11,KBank,KBank (กสิกรไทย),515.00,กองทุนสาธารณะ,โครงการแบ่งปัน,ทำบุญ/บริจาค,0.83,DEMO-KBank-260711-032,True
10031,2026-07-10,KTB,KTB (กรุงไทย),2570.00,โอนให้ครอบครัว,สมาชิกครอบครัว,โอนเงิน,0.95,DEMO-KTB-260710-031,True
10030,2026-07-09,KBank,KBank (กสิกรไทย),2710.00,ผลิตภัณฑ์ดูแลตัวเอง,Care Shop,สุขภาพ/ความงาม,0.96,DEMO-KBank-260709-030,True
10029,2026-07-08,KTB,KTB (กรุงไทย),2350.00,ค่าเช่าห้อง,หอพักตัวอย่าง,ค่าสาธารณูปโภค,0.94,DEMO-KTB-260708-029,True
10028,2026-07-07,BBL,BBL (ธนาคารกรุงเทพ),515.00,ก๋วยเตี๋ยว,ตลาดสด,ค่าอาหาร,0.89,DEMO-BBL-260707-028,True
10027,2026-07-06,BAY,BAY (กรุงศรีอยุธยา),375.00,ก๋วยเตี๋ยว,ตลาดสด,ค่าอาหาร,0.85,DEMO-BAY-260706-027,True
10026,2026-07-05,KTB,KTB (กรุงไทย),2015.00,เสื้อผ้า,ร้านเสื้อผ้า,ค่าของใช้,0.92,DEMO-KTB-260705-026,True
10025,2026-07-04,SCB,SCB (ไทยพาณิชย์),970.00,สินค้าออนไลน์,Online Shop,ค่าของใช้,0.97,DEMO-SCB-260704-025,True
10024,2026-07-03,KBank,KBank (กสิกรไทย),1580.00,ค่าเช่าห้อง,หอพักตัวอย่าง,ค่าสาธารณูปโภค,0.86,DEMO-KBank-260703-024,True
10023,2026-07-02,SCB,SCB (ไทยพาณิชย์),825.00,ค่ารถโดยสาร,ทางด่วน,ค่าเดินทาง,0.91,DEMO-SCB-260702-023,True
10022,2026-07-01,KBank,KBank (กสิกรไทย),2075.00,ของใช้ประจำวัน,Daily Mart,ค่าของใช้,0.87,DEMO-KBank-260701-022,True
10021,2026-06-30,KBank,KBank (กสิกรไทย),780.00,ค่าน้ำ,ผู้ให้บริการประปา,ค่าสาธารณูปโภค,0.88,DEMO-KBank-260630-021,True
10020,2026-06-29,SCB,SCB (ไทยพาณิชย์),140.00,มื้อเย็น,ร้านอิ่มอร่อย,ค่าอาหาร,0.94,DEMO-SCB-260629-020,True
10019,2026-06-28,KTB,KTB (กรุงไทย),455.00,กาแฟและขนม,Cafe Corner,ค่าอาหาร,0.96,DEMO-KTB-260628-019,True
10018,2026-06-27,SCB,SCB (ไทยพาณิชย์),2085.00,ค่าน้ำ,ผู้ให้บริการประปา,ค่าสาธารณูปโภค,0.91,DEMO-SCB-260627-018,True
10017,2026-06-26,KBank,KBank (กสิกรไทย),1305.00,เติมน้ำมัน,Transit Service,ค่าเดินทาง,0.92,DEMO-KBank-260626-017,True
10016,2026-06-25,BBL,BBL (ธนาคารกรุงเทพ),420.00,มื้อเย็น,ร้านอิ่มอร่อย,ค่าอาหาร,0.89,DEMO-BBL-260625-016,True
10015,2026-06-24,BBL,BBL (ธนาคารกรุงเทพ),360.00,กาแฟและขนม,Cafe Corner,ค่าอาหาร,0.98,DEMO-BBL-260624-015,True
10014,2026-06-23,BAY,BAY (กรุงศรีอยุธยา),1340.00,ค่าทางด่วน,Ride Service,ค่าเดินทาง,0.84,DEMO-BAY-260623-014,True
10013,2026-06-22,BAY,BAY (กรุงศรีอยุธยา),1140.00,ค่าเช่าห้อง,หอพักตัวอย่าง,ค่าสาธารณูปโภค,0.95,DEMO-BAY-260622-013,True
10012,2026-06-21,BAY,BAY (กรุงศรีอยุธยา),2510.00,ค่าแชร์,ผู้รับตัวอย่าง B,โอนเงิน,0.91,DEMO-BAY-260621-012,True
10011,2026-06-20,BBL,BBL (ธนาคารกรุงเทพ),1015.00,ช่วยเหลือชุมชน,องค์กรสาธารณะ,ทำบุญ/บริจาค,0.87,DEMO-BBL-260620-011,True
10010,2026-06-19,KBank,KBank (กสิกรไทย),2620.00,สินค้าออนไลน์,Online Shop,ค่าของใช้,0.83,DEMO-KBank-260619-010,True
10009,2026-06-18,SCB,SCB (ไทยพาณิชย์),1690.00,ค่าอินเทอร์เน็ต,Internet Provider,ค่าสาธารณูปโภค,0.87,DEMO-SCB-260618-009,True
10008,2026-06-17,KBank,KBank (กสิกรไทย),970.00,ค่าทางด่วน,Ride Service,ค่าเดินทาง,0.88,DEMO-KBank-260617-008,True
10007,2026-06-16,SCB,SCB (ไทยพาณิชย์),1005.00,ค่ารถโดยสาร,ทางด่วน,ค่าเดินทาง,0.83,DEMO-SCB-260616-007,True
10006,2026-06-15,KTB,KTB (กรุงไทย),225.00,กาแฟและขนม,Cafe Corner,ค่าอาหาร,0.84,DEMO-KTB-260615-006,True
10005,2026-06-14,SCB,SCB (ไทยพาณิชย์),1025.00,ค่ารถโดยสาร,ทางด่วน,ค่าเดินทาง,0.91,DEMO-SCB-260614-005,True
10004,2026-06-13,BAY,BAY (กรุงศรีอยุธยา),3470.00,ตัดผม,ร้านตัดผม,สุขภาพ/ความงาม,0.9,DEMO-BAY-260613-004,True
10003,2026-06-12,KTB,KTB (กรุงไทย),1455.00,เติมน้ำมัน,Transit Service,ค่าเดินทาง,0.98,DEMO-KTB-260612-003,True
10002,2026-06-11,KTB,KTB (กรุงไทย),2805.00,ค่าอินเทอร์เน็ต,Internet Provider,ค่าสาธารณูปโภค,0.94,DEMO-KTB-260611-002,True
10001,2026-06-10,SCB,SCB (ไทยพาณิชย์),1525.00,ของใช้ในบ้าน,Home Store,ค่าของใช้,0.95,DEMO-SCB-260610-001,True
